,Title,Company,Talking,Cleaning,Food,Building,Organizing,Computers,Numbers,Translating,Machinery,Description,Wage,Link
15,Granite Positive Support...,Lutheran Social Service of MN,X,,,,X,,,,,"City:Saint Cloud State:MN Country:United States of America Category:Services for Persons with Disabilities Employment Status:Part Time Description Lutheran Social Service MNis a dynamic social service organization serving children, youth and families, people with disabilities, older adults and mi...",$18,https://de.jobsyn.org/6e56b5e303fd4124b2e99e0f953787491387
16,Granite Positive Support...,Lutheran Social Service of MN,X,,,,X,,,,,"City:Saint Cloud State:MN Country:United States of America Category:Services for Persons with Disabilities Employment Status:Full Time Description Lutheran Social Service MNis a dynamic social service organization serving children, youth and families, people with disabilities, older adults and mi...",$18,https://de.jobsyn.org/cd46c9f370884bbf9b966a89e00ff68d1387
17,Granite Positive Support...,Lutheran Social Service of MN,X,,,,X,,,,,"City:Saint Cloud State:MN Country:United States of America Category:Services for Persons with Disabilities Employment Status:Full Time Description Lutheran Social Service MNis a dynamic social service organization serving children, youth and families, people with disabilities, older adults and mi...",$18,https://de.jobsyn.org/967bac5d16e544859643b824f23702f61387
18,Mid-Market Account Execu...,Freshworks,X,,,,X,,,,X,"*Must be based in the state of Minnesota for consideration* Freshworks provides innovative customer engagement software for businesses of all sizes, making it easy for teams to acquire, close, and keep their customers for life. Freshworks Software-as-a-Service (SaaS) products provide a 360-degree...",~$36,https://www.jobshq.com/job/3808597/mid-market-account-executive-minnesota-/
19,Returns Associate,Express Employment Professionals,,,,,,,,,,"Local fulfillment company looking for someone to help in the Returns Department. The ideal candidate will have a flexible and detail-oriented mindset. Check out the details below. Job Returns Department Location: St Cloud Shift/Hours: 1st Shift, 6:00 am to 2:30 pm, Monday thru Friday Salary: $14/...",$14,https://de.jobsyn.org/58756b36f97c459687161d0523f9cfb21387\nmailto:jobs.stcloudmn@expresspros.com
20,Packaging FT and PT,Express Employment Professionals,,,,,,,,,,"Local St. Cloud company looking for production packagers. Multiple shifts available with flexibility in your schedule! You choose your schedule! Currently have full-time and part-time options available Monday-Thursday, or at least 2 days or evenings per week. Such as 6a-4:30p Mon-Thurs (3-day wee...",~$12,https://de.jobsyn.org/eb4a9fa3098d4ff4a9ca5defb8904cbc1387\nmailto:jobs.stcloudmn@expresspros.com
21,Babysitter Needed For My...,Care.com,,,,,,,,,,Job Description We are looking for a great babysitter for my children in Saint Cloud. We would prefer someone who could help out with light housekeeping and laundry. We would prefer a babysitter who has their own car and who is comfortable with pets.,~$12,https://www.snagajob.com/jobs/624696379
22,Field Service Technician...,Ziegler Inc.,X,,,,,X,,,X,"Ziegler CAT has an opening for a full-time, experienced Field Service Technician to provide preventative maintenance services on our customer's equipment out in the field. We are looking for a dedicated employee with excellent troubleshooting and diagnostic skills to help deliver top notch servic...",~$23,https://zieglercat.wd1.myworkdayjobs.com/en-US/zieglercat/job/St-Cloud-MN/Field-Service-Technician--PM-Lube-Truck--2nd-Shift---Monday-Thursday-4x10-s-_2021-1328
23,Director of Facilities/A...,MONROE OPERATIONS,X,,,,,,,,,Director of Facilities/Adolescent Behavioral Health Category Facilities/Maintenance Job Locations US-MN-St. Cloud Type Full-Time About Us Newport Healthcare is a series of evidence-based healing centers for adolescents and families struggling with mental health issues. With locations across the U...,~$26,https://de.jobsyn.org/c8bdfc85348045d2bc7feb0660f41cb41387
24,HOUSEKEEPING AID SUPERVI...,Department of Veterans Affairs,X,X,,,X,,,,X,"- Videos Videos - Duties Help Help Duties Summary This position is located in the Housekeeping Section of the Facilities Management Service Line. The incumbent reports to the Hospital Housekeeping Officer (Chief, Environmental Management System (EMS). The incumbent sets work priorities, establish...",~$17,https://www.usajobs.gov/GetJob/ViewDetails/600451300
25,Hometown Expert Retail F...,T-Mobile,,,,,,X,,,X,"Job Description Title Hometown Expert, Retail Field Sales -Saint Michael, MN Location MN877C-MN-Division & 33rd Job Description This position will be working in Saint Michael, MN At T-Mobile, we strongly encourage everyone, including people of color, veterans, military spouses, individuals with d...",~$14,https://www.snagajob.com/jobs/620785166
26,Geek Squad Consultation ...,Best Buy,X,,,,,X,,,,"Job Description Job Title Geek Squad Consultation Agent Job Category Services/Installation/Repair Store Number or Department 000012-St Cloud-Store Job Description Geek Squad Consultation Agent As the first point of contact, Geek Squad Consultation Agents provide knowledgeable technology solutions...",~$13,https://www.snagajob.com/jobs/624760213
27,Administrative Assistant,__?__,X,,,,X,X,,,,"The ideal candidate must be personable, possess strong verbal and written communication skills and strong computer knowledge. We seek a mature person with a strong customer service ethic, poise and a neat professional appearance. The candidate must also be detail oriented, organized, and able to ...",~$16,https://stcloud.craigslist.org/ofc/d/saint-cloud-administrative-assistant/7316867242.html
28,Regional Delivery Driver...,__?__,,,,,,,,,X,"Life is good on the open road! Experience life on the open road by becoming a Regional Delivery Driver with Arrow Transportation. Our drivers are Non-CDL drivers. Our drivers typically work 4 days on, 3 days off (Tuesday-Friday on, Saturday and Sunday off), with opportunities for extra work Monda...",~$15,https://stcloud.craigslist.org/trp/d/saint-cloud-regional-delivery-driver/7316723315.html
29,Earn $19/hr! Join Woodcr...,__?__,,,,,,,,,,"APPLY NOW Woodcraft Industries Inc. Production/Woodworking FULL-TIME $19/hr, plus $2000 new hire bonus 522 Lincoln Avenue SE, St. Cloud, MN 56304 The Production Worker is responsible for performing a variety of entry-level tasks as assigned by the supervisor. Examples are followed: * Feeding Sand...",~$12,https://stcloud.craigslist.org/mnu/d/saint-cloud-earn-19-hr-join-woodcraft/7316928386.html
30,Window installers needed...,__?__,,,,,,,,,X,Your Home Improvement Company is looking for crews or individuals that have experience in vinyl replacement window installations. Our sales team has sold a lot of jobs so work is year round with GREAT pay! How you join our team: 1. Subcontractor: If you are a subcontractor with experience in viny...,~$25,https://stcloud.craigslist.org/trd/d/rockville-window-installers-needed-year/7316848797.html
31,Experienced Carpenters/S...,__?__,,,,,,,,,,"We are a local exterior/construction company based out of St. Cloud, MN that services the entire state of Minnesota. We are actively looking for experience carpenters and siding installers to join our team. This position is full time, guaranteed 40+ hours per week. Pay is based off of experience ...",~$23,https://stcloud.craigslist.org/trd/d/saint-cloud-experienced-carpenters/7316769230.html
32,Assembly/Production,Aerotek,,,,,,,,,X,"Aerotek is hiring for an expanding company in the St Cloud area-All shifts available Job duties include assembling parts for robots used in the medical field, recreational vehicle and Tesla car parts. Must be very detail orientated and want quality over quantity. Using sanders to polish parts and...",~$13,https://de.jobsyn.org/5af4342324f74c40acd71f03ebda08a51387
33,DELIVERY ASSISTANT,"Hom Furniture, Inc.",X,,,,X,X,,,X,"Summary Do you enjoy physical work and assembling furniture? Do you enjoy working with customers and focusing on customer satisfaction? If yes, YOU should consider a career at HOM! 42% of everyone we hire is referral from an employee or customer- that says a lot about our culture. HOM Furniture r...",$17,https://careers.homfurniture.com/jobOpenings/9083
34,Youth Advocate - Full-Ti...,180 Degrees,X,,,,X,,,,,"180 Degrees is looking for dedicated and committed individuals interested in turning lives around to ensure safer communities. Our organization is highly diverse and includes individuals with all sorts of life experiences. Plus, we like to have fun! Check us out at: 180degrees.org We are currentl...",$15,https://jobs.minnesotanonprofits.org/job/youth-advocate-full-time-days-saint-cloud-minnesota-51362
35,Part Time Field Intervie...,RTI International,X,,,,X,,,,X,"Part-time work paying $20.62 per hour plus $4.54 Health & Welfare benefit, a total of $25.16 per hour ! RTI International is seeking self-motivated and outgoing individuals to work on a government-sponsored research study, the National Survey on Drug Use and Health (NSDUH) as Part-Time Field Inte...",~$17,https://rtiint.referrals.selectminds.com/jobs/part-time-field-interviewer-national-survey-on-drug-use-and-health-st-cloud-mn-5568
36,Lead Cashier- New Flyer ...,Aramark Corporation,X,,,,X,,X,,X,"Lead Cashier- New Flyer USA Location US-MN-Saint Cloud Posted Date 5 hours ago (5/4/2021 4:59 PM) ID 329807 Category Customer Service Employment Type Fulltime-Regular Overview Aramark (NYSE: ARMK) proudly serves the world’s leading educational institutions, Fortune 500 companies, world champion s...",~$25,https://hourly-aramark.icims.com/jobs/329807/lead-cashier--new-flyer-usa/job?in_iframe=1
37,Nabisco Senior Sales Ser...,Mondelez International,X,,,,X,,,,,"Job Description Join our Mission to Lead the Future of Snacking. Make It With Pride. You will develop professional relationships with our customers and optimize base sales, NPD & promotions. You will ensure great visibility in retailers and delivery of sales capabilities. Your drive will lead you...",$17,https://wd3.myworkdaysite.com/en-US/recruiting/mdlz/External/job/Minneapolis-Minnesota-United-States/Nabisco-Senior-Sales-Service-Merchandiser_R-22395
38,Claires FT Assistant Man...,"Claires Stores, Inc.",X,,,,X,X,,,X,"Claire's - A Career that's always in style Assistant Store Manager Opportunity About the Role As an Assistant Store Manager at Claire s, you will support your Store Manager with the following; - Sales and profit: Driving and achieving retail store targets - Customer service: delivering the finest...",~$21,https://claires.referrals.selectminds.com/jobs/claires-ft-assistant-manager-st-cloud-31959
39,Maintenance Technician,carfair,X,,,,,X,X,,X,"Carfair Composites is a leader in fibre-reinforced plastic (FRP) design and composites technology and has over 600 dedicated team members located in facilities between Winnipeg, MB (Canada), St. Cloud, MN (USA), and Anniston, AL (USA), Wausaukee, WI (USA) and Gillett, WI (USA). POSITION SUMMARY T...",~$26,https://www.careerbuilder.com/job/J3Q52K7851G13LNWRFW
40,Industrial Control Syste...,National Security Agency,,,,,,,,,,"Job Description Event DateMay 06, 2021 4:00pm - 5:00pm (GMT-05:00) Eastern Time (US & Canada)Event Description:Join NSA for ""Real Talk"" on Diversity - Take 2: Fear of the Unknown, Fear of Rejection and Fear of ChangeInterested in learning how NSA policy supports diversity and inclusion? Then join...",~$26,https://www.snagajob.com/jobs/624486101
41,Cryptologic Operations W...,National Security Agency,,,,,,,,,,"Job Description Event DateMay 06, 2021 4:00pm - 5:00pm (GMT-05:00) Eastern Time (US & Canada)Event Description:Join NSA for ""Real Talk"" on Diversity - Take 2: Fear of the Unknown, Fear of Rejection and Fear of ChangeInterested in learning how NSA policy supports diversity and inclusion? Then join...",~$15,https://www.snagajob.com/jobs/624486082
42,Library Associate-St Clo...,Great River Regional Library,,,,,,,,,,"Under general supervision, the Library Associate provides direct patron service at the reference and children's desks, conducts programs and assists with outreach. PT - 17.25 hours per week - annualized Schedule: Week 1: Monday, Tuesday 12:00 - 7:30 PM Week 2: Monday, Tuesday 12:00 - 7:30 PM and ...",~$15,https://de.jobsyn.org/df6c69e99d2848998ff7516f242b900f1387
43,Logistics Customer Servi...,Express Employment Professionals,,,,,,,,,,"Do you enjoy providing exceptional customer service in a fast-paced environment? In this full-time evaluation hire position, you will be contacting customers for scheduling, negotiating pricing, providing delivery information, working closely with team members and learning new skills as needed fo...",$16,https://de.jobsyn.org/642fdadcf5ad42418f994b7eff03e7f21387\nmailto:jobs.stcloudmn@expresspros.com
44,CDL-A Regional Company T...,Hill Brothers Transportation,,,,,,,,,,"Job Description LIVE IN MINNEAPOLIS, MN, AREA? << Special pay of $.55 per mile for drivers who live within 100-mile radius of Minneapolis! Get the home time and stability you've been missing! * Run 5 days, home 2 days * Dedicated business from the Costco distribution center in Owatonna, MN, to Om...",~$36,https://www.snagajob.com/jobs/624643678
45,Assembly Technician,DOHERTY,,,,,X,,,,X,"Job Description Are you looking to use your assembly skills in a great new career earning a great wage? Doherty Staffing Solutions is currently partnering with a leading supplier in the manufacturing industry located in St. Cloud, MN. We are seeking Assembly Technicians on 1st shift for these exc...",$17,https://www.snagajob.com/jobs/624553718
46,Over the Road Mentor,"C.R. England, Inc.",,,,,,,,,,Job Description Teach apprentices how to safely and efficiently drive a truck in accordance to the state and local laws and per CR England’s policies. Experienced drivers hiring with CR England must have 6 months tractor trailer experience. These drivers will go out with a mentor for 5 days to un...,~$26,https://www.snagajob.com/jobs/624615072
47,Solo OTR,"C.R. England, Inc.",,,,,,,,,,Job Description Solo OTR position with great paying miles! Earn 37 to 45.5 cents per mile depending on experience and even more based on length of haul. This is a great position with the premier long-haul refrigerated carrier in the country!,~$30,https://www.snagajob.com/jobs/624623006
48,"Assistant Teacher, Seaso...",Tri Valley Opportunity Council,,X,,,,,,,,"Description SUMMARY OF PRIMARY FUNCTION: The Classroom Assistant takes direction from and supports the teaching staff in conducting classroom activities, maintaining classroom environment and supervising children. The Classroom Assistant may also assist in planning and record keeping as requested...",~$16,https://de.jobsyn.org/af5699836e1a4248b9287fad295276e01387\nmailto:arianna.kaiser@tvoc.org
49,Tagalog Bilingual Custom...,"Preferred Credit, Inc.",,,,,,,,,,"Tagalog Bilingual Customer Service Associate Apply Now! As a company that understands the importance of work-life balance and a positive work environment, we value flexibility and motivation within the workplace. We understand the importance of education and family and make it a priority to work ...",~$13,https://www.preferredcredit.com/careers-site/current-openings/apply/CallCenter?Job=Tagalog Bilingual Customer Service Associate
50,Non-Cdl Box Truck Driver,YRC Worldwide,,X,,,,,,,X,"Non-CDL Box Truck Driver - ( 2103A3 ) Primary Location : US-MN-St Cloud Shift : Variable Join the YRC Freight team! We are the original LTL Carrier with over 90 years in the business and we are hiring now for full-time, local Straight Truck Drivers. As a YRC Freight Straight Truck Driver you'll b...",~$14,https://www.jobmonkeyjobs.com/career/21471187/Non-Cdl-Box-Truck-Driver-Minnesota-St-Cloud-1248
51,Night Auditor - Part Tim...,Aimbridge Hospitality,,,,,X,X,,,X,The Night Auditor is responsible for the preparation and disposition of all Night Audit work. Responsible for the front desk operation during the overnight shift (Typically 11pm-7am). Primary responsibilities include: registering guests making reservations preparing daily reports balancing transa...,~$12,https://de.jobsyn.org/0a3f42ae97ff4ba4ac8294af5c75101a1387
52,"Truck, Pickup or Cargo V...",__?__,,,,,,,,,,"Earn money with your big rig truck, cargo van, pickup or box truck! Be your own boss, work when you want, and get paid weekly! Top delivery pros on the Doft on-demand shipping marketplace earn over $2500 per week. Earn money with your vehicle by moving and delivering large items for local people ...",~$31,https://stcloud.craigslist.org/trp/d/truck-pickup-or-cargo-van-driver-earn/7316403664.html
53,Work From Home - Paid We...,__?__,X,,,,,,,,,"Are you looking for part time work? We are looking for customer service focused sales reps to work from home, with the option to work full time. Interview, train, and work from home. WHAT DO YOUR PART TIME OPENINGS INVOLVE? Our openings are for entry level customer sales/service positions. The wo...",$17,https://stcloud.craigslist.org/sls/d/saint-cloud-work-from-home-paid-weekly/7316305021.html
54,COUNTRY Financial Insura...,Country Financial,,,,,,,,,,Job Description Job DescriptionDescription We believe in diligently working to understand and serve customers to meet their financial security needs. This is why we by Jobble,~$36,https://www.snagajob.com/jobs/624182305
55,Sales Representative,JOHNSON HEALTH TECH,,,,,,,,,,"Description: Johnson Fitness & Wellness, formerly 2nd Wind Exercise Equipment, offers a huge selection of fitness equipment and accessories. Our Sales Associates work one-on-one with customers using our consultative sales process to find equipment solutions to best meet their fitness needs. Our m...",~$37,https://jobs.thejobnetwork.com/job/460094497/sales-representative-job-in-saint-cloud-mn-56301
56,Material Inventory Plann...,Nextern,X,,,,,,,,,extern is hiring for the role of Material Inventory Planner . This roles comes with competitive pay and a full benefits package (details below) The Material Inventory Planner will be responsible for managing the material inventory for a group of clients within our US operations. Duties And Respon...,~$16,https://www.jobshq.com/job/3802116/material-inventory-planner/
57,Sr Accounts Payable Assi...,CentraCare Health,,,,,X,,,,,Mon-Fri 8:00a-5:00p JOB SUMMARY: Responsible for maintaining the vendor master and invoice imaging system workflow. Audits expense reimbursement requests and check run reports. Analyzes old invoices and potential duplicate payments and corrects as necessary. Supports and implements patient safety...,~$26,https://elyb.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001/requisitions/preview/202295
58,Structural steel shop fo...,GPAC,,,,X,,,,,,"POSITION SUMMARY: The Fabrication Shop Foreman, supervises, coordinates, and manages a crew of 5-10 craft workers. The scope of the work varies project to project, but the primary task is structural steel fabrication. The foreman will also support concurrent activities at the site such as equipme...",~$38,https://www.jobspider.com/job/view-job-10461614.html
59,Production Associate - C...,Wolters Kluwer,X,,,,X,,,,X,"This person will be responsible for production of paper products using Digital Production equipment, primarily a Xerox Trivor 2400 inkjet roll-fed print engine with in-line Hunkeler Finishing equipment. Basic tasks include job set-up, visual inspection for quality of first production pieces, and ...",~$12,https://wk.wd3.myworkdayjobs.com/en-US/External/job/USA-MN-St-Cloud-Sauk-View-Dr/Production-Associate_R0012884
60,Crisis Nursery Facilitat...,Lutheran Social Service of MN,X,,,,X,X,,,,"Description Lutheran Social Service MN is a dynamic social service organization serving children, youth and families, people with disabilities, older adults and military veterans. Trustworthiness is a value and strength shared by our employees and recognized by the communities we serve . We offer...",$19,https://cta.cadienttalent.com/index.jsp?POSTING_ID=96194138542&locale=en_US&SEQ=jobDetails&applicationName=LutheranSocialServiceKTMDReqExt
61,Terminix Commercial Pest...,Terminix,,,,,,,,,,"Job Description Job DescriptionPosition Overview Be knowledgeable of technical data concerning chemicals used and their application. Be knowledgeable of federal, by Jobble",~$22,https://www.snagajob.com/jobs/624227953
62,Terminix Pest Control Te...,Terminix,,,,,,,,,,"Job Description Job DescriptionPosition Overview Be knowledgeable of technical data concerning chemicals used and their application. Be knowledgeable of federal, by Jobble",~$22,https://www.snagajob.com/jobs/624228077
63,Terminix Commercial Pest...,Terminix,,,,,,,,,,"Job Description Job DescriptionPosition Overview Be knowledgeable of technical data concerning chemicals used and their application. Be knowledgeable of federal, by Jobble",~$22,https://www.snagajob.com/jobs/624230340
64,Terminix Pest Control Te...,Terminix,,,,,,,,,,"Job Description Job DescriptionPosition Overview Be knowledgeable of technical data concerning chemicals used and their application. Be knowledgeable of federal, by Jobble",~$22,https://www.snagajob.com/jobs/624227393
65,Gutter Installer,Leafguard Gutters,,,,X,,,,,,"Valid driver's license. Your own small hand tools (hammer, flat bar, tin snips, tape measure, etc.). If you do have construction experience, you’ll kick yourself for not calling me sooner! All Large Tools Are Provided. Posted on : Mon, 03 May 2021 20:23:03 GMT",~$21,https://www.itjobslist.com/gutter-installer-job-in-saint-cloud-mn-jbrnind-2ac8126ebf157210
66,FedEx - St Cloud MN City...,Fedex - St. Cloud Mn City Driver,,,,,,,,,,"Job Description Job DescriptionNow Hiring CDL-A City Drivers in St. Cloud, MN Home Daily! Earn $26.38/Hour $3,500 Sign-On Bonus Position overview: Pick up and deliver by Jobble",$26,https://www.snagajob.com/jobs/624188573
67,Non-Cdl Box Truck Driver,YRC Freight,,X,,,,,,,X,"Non-CDL Box Truck Driver - ( 2103A3 ) **Primary Location** : US-MN-St Cloud **Shift** : Variable Join the YRC Freight team! We are the original LTL Carrier with over 90 years in the business and we are hiring now for full-time, local Straight Truck Drivers. As a YRC Freight Straight Truck Driver ...",~$14,https://de.jobsyn.org/56dd56819ede43ceb46757dde1721d411387
68,Holland Regional Truckin...,Holland Regional Trucking,,,,,,,,,,"Job Description Job DescriptionCDL A Truck Drivers Needed! We offer 100% paid health care, great home time and more! Call 866-493-1907 to speak with a recruiter! Join by Jobble",~$32,https://www.snagajob.com/jobs/624205184
69,Team Members and Manager...,Coffee & Bagel Brands,,,,,,,,,,"At Caribou Coffee we create day-making experiences that spark a chain reaction of GOOD ! This is our purpose. Our team brings this to life by focusing on what’s really important around here – TEAM, GUEST, QUALITY ! It’s that simple. If you’re ready to work somewhere you can be yourself while maki...",~$20,https://coffeeandbagelbrands.wd1.myworkdayjobs.com/en-US/coffeeandbagelbrands/job/St-CloudMN--4135-W-Division-Street/Team-Members-and-Managers_R75959
70,Administrative Coordinat...,Accord,X,,,,X,X,,,,Are you looking for an opportunity to make a difference in the lives of people who have disabilities? Are you interested in social justice and advocating for personal and civil rights alongside people whose voices have historically been ignored? Are you a creative and passionate person looking to...,~$16,https://www.jobshq.com/job/3800892/administrative-coordinator/
71,Stone Countertops,__?__,,,,,,,,,X,"Midsota Granite & Quartz, an established Countertop Fabricator in St Cloud, MN, is in need of an experienced individual in the following positions: Fabricator - Saw/Machine operator - Installer Monday thru Thursday 6-5, with occasional Friday morning Pay is based on experience. Simple Retirement ...",~$21,https://stcloud.craigslist.org/trd/d/saint-cloud-stone-countertops/7315770124.html
72,Reconditioning Manager -...,Energy Jobline,,,,,,,,,,"We are looking for a Reconditioning Manager - Car Dealership - Automotive Energy Jobline would like to introduce the role of Reconditioning Manager - Car Dealership - Automotive based in Saint Cloud, MN, USA. If you think you are a suitable match for this role, please hit the apply button for mor...",~$21,https://www.energyjobline.com/job/reconditioning-manager-car-dealership-automotive-saint-cloud-mn-usa-3200955
73,CDL A Delivery Truck Dri...,__?__,X,X,X,,,,,,X,"Company: US0332 Sysco Western Minnesota, Inc. Zip Code: 56304 Minimum Years of Experience: Employment Type: Full Time Travel Percentage: Job Summary: Sysco has immediate job openings for dependable CDL A Delivery Truck Driver Trainees to safely operate a tractor-trailer and may be required to unl...",~$24,http://www.jobs4jobs.com/jobseekers/job-apply.php?job_id=1950553
74,Health Insurance Agent,Country Financial,X,,,,X,,,,,"Job Description Description We believe in diligently working to understand and serve customers to meet their financial security needs. This is why we exist. The Career Basics We're looking for insurance sales agents focused on building a network, finding prospective customers and helping ensure t...",~$37,https://jobs.thejobnetwork.com/job/459843940/health-insurance-agent-job-in-saint-cloud-mn
75,Entry Level Phlebotomist,American Red Cross,X,,,,,X,,,,Please use Google Chrome or Mozilla Firefox when accessing Candidate Home. By joining the American Red Cross you will touch millions of lives every year and experience the greatness of the human spirit at its best. Are you ready to be part of the world's largest humanitarian network? Job Descript...,$17,https://americanredcross.wd1.myworkdayjobs.com/en-US/American_Red_Cross_Careers/job/St-Cloud-MN/Entry-Level-Phlebotomist_RC44087
76,Pest controller,PRESTO-X,,,X,,,,,,,Job Description Pest Control Specialist Are you passionate about customer service? Looking to build your career in an exciting industry and a growing world class organization? Come see why so many of our team members recommend us to their friends! Who are we? Presto X is proud to be a member of t...,~$18,https://jobs.thejobnetwork.com/job/459852943/pest-controller-job-in-saint-cloud-mn
77,PT Office Associate,FURNITURE MART USA,X,,,,,X,,,,"Job Description JOB SUMMARY: Join our team as an Office Associate at our Ashley HomeStore & The Furniture Mart in St. Cloud, MN ! This is an exciting opportunity if you enjoy multi-tasking with a variety of administrative duties and delivering quality customer service! - Part-Time (8-12 hrs/wk): ...",~$15,https://www.kelolandemployment.com/vj/pt-office-associate/172951
